id,FalseSent,OptionA,OptionB,OptionC,label
609,Fire is common in the sea,There are all kinds of fish and plants in the sea,it is hard to fire with so much water,There is a lot of resources in the sea,B
610,People who are allergic to potatoes can eat chips,Potato chips are usually Fried foods,Potato chips are junk food so eating them is not recommended,Potato chips are commonly made from potatoes,C
611,Mars is suitable for human survival,Mars is smaller than the earth,The United States has explored Mars in recent times,Mars lacks the resources of human existence,C
612,A working guitar can have no strings,a Guitar can play wonderful music,A guitar voices by its string,A guitar can be carried on your back,B
613,"When something breaks, we can glue them with water",Water has no viscosity,When something breaks we might replace it,You may be scolded for breaking things,A
614,Germinated sweet potatoes can be eaten,sweet potatoes don't look good,"Sweet potatoes are usually very sweet, some people like it very much",Germinated sweet potato have poison,C
615,All flowers have fragrance,Ordinary flowers are more fragile,Some flowers do not emit fragrance,Generally speaking the fragrance is more attractive,B
616,All trees lose their leaves in autumn.,The weather is usually better in autumn.,Pines do not fall in autumn,The sky is higher in autumn.,B
617,males are found at beauty salons more often than females,Men are more likely to play games than women,females generally pay more attention to outlook than males,females often go shopping,B
618,apple juice is made of bananas,bananas are delicious,Apples are delicious and nutritious fruits,apples can make apple juice,C
619,the Heartbeat is slower in children than in adults normally,Every beat of the heart takes about one second,The younger the person is the faster the heart beats,"Babies jump one hundred and eighty times a minute, juveniles ninety times a minute, and adults about seventy times",B
620,a baton is used for playing music,The baton is used to direct the orchestra,the baton is made of wood,there is always a Conductor in an Ordinary band to command band,A
621,You can see the pine trees blooming,Pines have few flowers and no petals,Pines are evergreen all year round,Pine trees are useful for wood and other purposes,A
622,Clouds have no color,The refraction of light causes clouds to seem not transparent,Some clouds are beautiful and have many shapes,In cloudy weather sometimes we can't see a single cloud in the sky,A
623,the sky is blue in the evening,the ocean is blue in the morning sometimes,the sky is blue in the morning sometimes,there is no sunshine at night,C
624,I go to work to earn time,International companies will spend your more time,I have a lot of time,the company spends money on my time,C
625,My hair is too short so I need a haircut,my hair is pretty short,It is not necessary to cut too short hair,some people are good for long hair,B
626,People think more efficiently in noisy environments,I do my homework more efficiently at home,I am used to doing my homework in quiet evenings,noise can interfere with their thinking in a noisy environment,C
627,I'm grazing tigers,Tigers are carnivores and not tame,Tigers can not disgust grasses,Tigers are very dangerous,A
628,Working all day is very relaxing,working without rest is tiring,Doing homework all day is very tiring,Playing computer games is a good way to relax,A
629,A table is a comfortable place to sleep,there are 5 beds in my house,there is a table next to my bed,a table is too hard that you can't fall asleep on it,C
630,Something you find at the airport is a ship,a ship is always close to the sea and the airport is far from the sea,The chances of seeing an airplane at the parking lot are low,The chances of seeing a ship at the Parking lot are low,A
631,losers can get prizes,No one can be a perpetual loser,You take the first place and you're the winner,Losers usually don't have any prizes,C
632,smoking is good,My father only smokes good cigarettes,cigarettes are expensive,Too much smoking can lead to lung cancer,C
633,I will confirm my email through my radio,I love playing computer games,Computers are more expensive than radios,The radio can't connect to the Internet,C
634,air is charged,Electricity is charged,Every day in hawaii the air is fresh,We can access air on earth freely,C
635,the bike is a new invention,bikes were invented hundreds of years ago,Every day new things are invented,my bike is very old,A
636,There is water in the pen so we can write,the Ink contains water,We usually do not use water to write,Water is an important element of the human body,B
637,I like European culture because I traveled to Canada last year,London is in the south of England,Canada is to the north of the United States,Canada is located in North America,C
638,The last thing you do when you visit a museum is buying a ticket,I was the last one to enter the museum,You need to buy a ticket before you enter the museum,I was the first one to enter the museum,B
