id,FalseSent,ref1,ref2,ref3
2255,he cries while he is chopping some apples,apples can't make a human  cry while he is shopping it.,Chopping apples does not cause someone to cry.,Apples don't produce an odor or vapor potent enough to make someone cry.
2256,the sun revolves around the earth,the heliocentric theory explains that the sun cannot turn around the earth,The sun is larger than the earth.,"The sun does not revolve around the earth, the earth revolves around the sun."
2257,The woman went driving in the lake.,The woman can't drive in a lake.,Lake is a place where we cannot drive.,A lake cannot be through.
2258,The ostrich is at the mall.,An ostrich does not go to the mall.,Mall is a place where the ostrich don't live.,Animals typically aren't found within malls.
2259,A left shoulder is part of a pie,"Shoulder is a part of the human body, not a food",A body part is not edible.,Pies do not have sholders.
2260,Two is more than three.,Two is less than three.,Three is much bigger than two.,Two is less than three.
2261,He got on a car and flew to his destination.,Cars can't fly but planes can.,Cars cannot fly.,Car cannot flew.
2262,The kids are getting on the banana.,Kids do not ride bananas to school.,Kids cannot fit on top of a single banana.,Kids cannot ride a banana to school.
2263,They bunk classes to hang out with parents,Parents would know that their children are not attending classes,Parents would not permit this behavior.,People don't usually bunk classes to hang out with parents.
2264,I AM GOING TO BEACH FROM MADURAI,BUT NOT BEACH TO LIVE IN MADURAI,Madurai does not have a beach.,Madurai does not have beach.
2265,She jumped over the Grand Canyon.,The grand Canyon is too large to jump over.,The Grand Canyon is too big for anyone to jump over.,The Grand Canyon is too large to jump across.
2266,There are many spceships in the sea.,Spaceships travel through space and not water so they are usually not found is seas.,"Spaceships are in space, or on land before they get to space.","Spaceships belong in space, not the sea."
2267,He ate tomato soup with a fork,the fork would not hold the liquid,You cannot eat tomato soup with a fork.,The soup would slip between the cracks of the fork making it impossible to eat that way.
2268,Water is often used as a fuel,Petrol is much flammable than petrol,Water is not a fuel.,Engines and other such motorized equipment requiring a catalyst don't operate on water.
2269,A pig is comprised of letters from the alphabet.,A pig is a physical creatures and cannot consist of letters.,A pig is not made of letters.,A pig is an animal.
2270,She is asking for a vacuum cleaner for President's Day,People do not exchange gifts on President's Day,You don't receive presents on President's Day.,vacuum cleaner is for cleaning not for president day
2271,my brother goes to gym after eating dinner every day,no one goes to gym after eating the meals,AFTER EATING GYM IS NOT GOOD,gyms are usually closed after dinner
2272,She also cooked cow legs for the entree.,"A cows leg isn't usually an entree, for dinner.",COW LEGS IS NOT GOOD FOR COOKING,Cow legs are not commonly served entrees.
2273,I started eating lot of food to lose weight.,No one eats more to lose weight.,You do not eat a lot to lose weight.,To lose weight we should not eat lot.
2274,She replanted the car into a larger pot.,Cars are larger than pots and are not something you replant.,Cars cannot be planted.,Cars are a lot bigger than flowerpots.
2275,He went to McDonald's to eat lobster,n Mcdonalds they don't sell lobster,McDonald's does not serve lobster.,McDonald's does not serve lobster.
2276,The color green is a combination of yellow and red,The colors yellow and red make orange not green,Green is  yellow and blue.,"Yellow and Red are primary colors, while Green is not."
2277,Apple is a small timepiece worn typically on a strap on one's wrist,Apple is a fruit people eat,Apples are fruit.,"Apples are meant to be eaten, not worn."
2278,Something you find at a internet cafe is a food menu,Food menus are found at most restaurants,Internet cafes do not serve food like traditional cafes.,Internet cafes don't sell food because people would get it all over the computers
2279,She drives a red apple.,An apple is not a vehicle therefore cannot be driven,An apple can not be driven,A person cannot get inside of an apple.
2280,The cat ate a horse,A cat could not eat a horse because a horse is too big,A horse is much bigger than a cat.,A cat does not eat horses.
2281,Large dogs can fit in a handbag.,A handbag is too small to contain a large dog.,Large dogs are too big to fit in handbags.,"Dog breeds classified as ""large"" are far too big to fit in handbag."
2282,Window wants to be clean,Window can't have any desire,Windows are not alive and cannot want anything.,Windows are inanimate.
2283,he bought milk for his plant and kept in the fridge,no one pours milk for plants,you do not feed a plant milk,Plants don't consume milk.
2284,He cooked his hat on the grill.,A hat is not an item of food.,People don't grill their clothing.,"People don't cook hats, they are not food."
2285,Roger throws a couch for his dog.,A couch is too heavy to throw.,A couch is too heavy to throw.,Roger cannot throw a couch because it is too big.
2286,Using a BBQ I made a smoothie,Smoothies are not something a BBQ can make.,Smoothies are made in a blender.,"Smoothies are made with blenders, not on a grill."
2287,He used a cat to unlock the door.,Cats cannot unlock doors,A cat does not function like a key.,Cats cannot fit into keyholes.
2288,The fish ran after the red ball,Fish cannot run,Fish cannot run.,Fishes swim in water and cannot run.
2289,I put air in my car,gas fuels car not air,Cars do not use air as fuel.,A car does not run on air.
2290,animals live in homeless shelters,"cats live in animal shelters, not homeless shelters.",Homeless shelters are for people.,Homeless shelters are for humans
2291,she brushed her teeth with spoon,spoon is a kitchen utensil used to eat food,"Spoons are used for eating, not brushing teeth.",A spoon cannot be used to brush ones teeth.
2292,He jumped out of the plane to the  ground,One cannot jump out of the plane and safely land on the ground without a parachute,He can't jump out of a plane to the ground and live.,jumping out of a plane on the ground would kill you
2293,she went to a dentist to check her eyes,Dentist is someone who examines tooth,A dentist checks teeth,Dentists specialize in teeth.
2294,she put gloves on her feet,gloves do not fit feet,Gloves belong on the hands.,Gloves do not belong on feet.
2295,give me more humans,humans is a person. Can not give it to someone else,Humans are not something that can be given or traded as a commodity.,Human cannot be given to someone.
2296,She brought a new cat for her fishtank,Cats eat fish and don't like living in water,Cats do not belong in fish tanks.,Cats don't breathe water.
2297,he was sent to a stadium for treatment after an auto crash,a stadium is meant fro recreational activities,Stadiums don't have medical equipment or doctors equipped to handle a victim of a car crash.,A stadium is not a place to receive medical attention.
2298,He cooked the computer,Computers are not supposed to be cooked,cooking a computer would destroy it.,Computer cannot cooked.
2299,She put her phone on the cloud.,Clouds can't hold phones.,Clouds cannot be reached by people.,clouds cannot hold phones.
2300,You are likely to find a Dinosaur in court,Whole Dinosaur are dead years ago,Dinosaurs have been extinct for hundreds of millions of years.,Dinosaur does not find in the court.
2301,The American went to Europe by train.,There are no rail links across the ocean to Europe.,You cannot cross the ocean on a train.,There is an ocean between America and Europe.
2302,A hurricane is a swirling mass of sand and smoke.,"Hurricanes are swirling masses of air and water, and not sand and smoke and can't start on land.","Hurricanes are not comprised of sand and smoke, but rather natural elements.",HURRICANE IS NOT GOOD FOR  SAND AND SMOKE
2303,He put a fridge in a chicken.,"A fridge cannot fit inside a chicken, nor would anyone try to make such a thing happen.",A fridge is too large to put in a chicken.,A fridge is bigger than a chicken.
2304,Books can read people.,A book is an inanimate object and cannot read anything.,Books are not conscious and can't read.,Books are inanimate objects.
2305,He eats a toaster for dinner.,A person cannot eat a toaster.,Toaster cannot be eaten.,Toasters are made of metal and cannot be eaten.
2306,Water is dusty,Water travels the path of least resistance and flows freely,Water can't be dusty.,Water is a liquid and a lubricant.
2307,He eats a pen every day,no one eats a pencil as food,A pen is not edible.,Pens are not edible.
2308,He ran over a extinct animal,You can not run over something that doesn't exsist anymrore,Turkeys are not extinct.,An extinct animal cannot be ran over.
2309,He ate a bag of rubberbands for lunch.,You cannot eat rubberbands.,Rubber bands are inedible.,rubber bands are not consumable
2310,He put the guniea pig in the fridge.,guniea pigs cant survive in the fridge.,A guniea pig does not live in a fridge.,Animals should not be put in the fridge.
2311,he was admitted in a university after a heart attack,a university does not have doctors and nurses,A university is not a place to admit after heart attack.,A college is not a hospital.
2312,dogs like to chase hippos,dogs and hippos do not share habitats,Hippos do not run and are not apt for chasing by dogs.,Dogs aren't around hippos to chase them.
