id,FalseSent,ref1,ref2,ref3
565,Dogs can eat chocolate,Chocolate is poisonous for dogs,Chocolate not for dogs.,chocolate is poisonous for dogs
566,We can't know the time through the watch,A watch is a timing tool,"a watch tells us the time, thus why wouldn't we know the time through a watch?",WATCH SERVES TO KNOW THE HOUR
567,People usually eat the peel of the watermelon,Watermelon peel is so hard that people usually can't bite it,The most popular part of the watermelon is the pink fruit,A watermelon peel is not edible for humans.
568,Everyone can eat peanuts,Some people are allergic to peanuts,except the people allergic to them,Peanuts not good to eat for everyone.
569,People usually can't smell the fragrance of jasmine,Jasmine usually has a strong fragrance,people are usually can smell the fragrance of jasmine,People usually can smell the fragrance of jasmine.
570,Only a few people with cancer die,Cancer is hard to cure,"Many people with cancer die.,",Cancer can often be fatal.
571,People can take drugs at will,the Drug is prohibited in most countries,Drugs can be illegal or prescription only.,Many drugs are illegal to take without a prescription
572,Hens can give birth to chickens directly,Hens only can lay eggs and eggs may become little chickens,chickens are hatched from eggs which are laid by hens,Hens lay eggs.
573,The tortoise usually runs faster than the rabbit,Rabbits usually have powerful legs and tortoises are slow,"Tortoises are notoriously slow animals, and rabbits are known for their speed.",A rabbit is a faster runner than a tortoise.
574,Students shouldn't do homework,Doing homework is the basic responsibility of the student,A student won't understand a subject if he doesn't study it.,students are supposed to do homework
575,Most people like snakes,Most snakes bite human and some snakes are poisonous,Most people not like snakes,Most people are afraid for snakes.
576,I have the same fingerprints as him,Different people have different fingerprints,Fingerprints are unique to each individual; no two people have the same fingerprints.,No one has the same fingerprints as other person.
577,only the male can be a Marathoner,there are also female Marathoners,Any gender can be a marathoner.,anyone can be a marathoner regardless of sex or gender
578,People can't find others lying,A lie can sometimes break,lying can be easily found by others,Lying can be find by others.
579,A dermatologist can cure heart disease,Heart disease needs to be treated by a cardiothoracic doctor,Dermatologists cure skin ailments only.,"Dermatologists cure skin conditions, cardiologists cure heart conditions"
580,We can hurt others at will,It is illegal to hurt someone at will,we are not supposed to hurt others,We can't hurt others at will
581,All oranges are sweet,some Green oranges are very sour,"Some oranges, especially those that are not completely ripe, are sour instead of sweet.",Not every orange has a sweet flavor.
582,People often eat in the toilet,Toilets are used for excretion,"The toilet is used for eliminating human waste, not for eating.",NO EAT IN TOILET
583,A chair usually has three legs,A chair with three legs will not stand,A chair usually has four legs,A chair typically has four legs.
584,Many people drink coffee to sleep,coffee keeps people awake,coffee keeps you awake as it has caffeine,"Coffee contains a stimulant, caffeine; it ""perks"" people up, not puts them to sleep"
585,We put food in the washing machine,The washing machine is used for washing clothes,WASHING MACHINE ARE NOT IN FOOD,"washing machines are for clothes, not food"
586,Hot dogs are dogs,A hot dog is a kind of food instead of the animal,dogs are dogs,the dogs are so hot
587,We can work eight days a week,There are only seven days in a week,Seven days in a week.,can we work eight days a week
588,Poor sleep can lead to high energy levels,After enough sleep we can be invigorated,"If you sleep badly, you feel bad",Poor sleep leads to low energy.
589,Getting a Ph.D. is an easy task,It usually takes a lot to get a Ph.D. qualification,"Getting a Ph.D, is a hard task, not an easy task.",Getting a ph.D is not a easy task.
590,I take a sickle to cut wood,The sickle is for cutting grass,wood is cut with a saw,A wood can't be cut with a sickle
591,Burning garbage makes the environment better,Burning garbage produces many substances harmful to the environment,burning waste generates co2 and is bad for the climate,the smoke from burning the garbage will pollute the environment
592,The sun ceases to shine at night,At night the sun is on the other side of the earth,"The sun always shines, it is just not visible to us.",The sun never ceases to shine; it merely sets at night.
593,the Diabetic can eat candy at will,Diabetes can be aggravated by eating sweets,THE DIABETIC CANNOT EAT CANDY AT WILL,the Diabetic can't eat candy at will
594,"If people have something urgent to go to a place, they usually walk",walking is too slow for something urgent,People can use to vehicle to go to place.,"Other modes of transport are much faster than walking, so would be used for urgent travel"
595,You can use the air conditioner without electricity,Air conditioning requires electricity to operate,air conditioning needs electricity to run,An air conditioner is a machine which needs electricity.
596,Most people don't need friends,Man is a social animal and needs friends,Most people rely on friends.,No man is an island.
597,Trees can have no bark,A tree without its bark will die,Trees have bark,"Bark is the outermost layer of a tree, so you cannot have a tree naturally without bark"
598,You can find two identical leaves,the lines of leaves are totally random and different,identical leaves can's be found anywhere,"IN NATURE THERE ARE SEAMLESS, BUT NOT IDENTICAL LEAVES"
599,the sun will stay on all day,The sun will set at night,the sun will stay on day,The sun disappears during night time.
600,Most people like mice,Mice are a kind of pest,Most people are afraid of mice.,mice carry disease and scare most people
